# zooid     P          Nclass  image
ASW0009dju  0.0000114  216       http://spacewarps.org/subjects/standard/5183f151e4bb21021900705c.png
ASW0009df5  0.0000002  137       http://spacewarps.org/subjects/standard/5183f151e4bb21021900c540.png
ASW0009dhn  0.0000002  159       http://spacewarps.org/subjects/standard/5183f151e4bb210219000dbf.png
ASW0009djw  0.0000002  208       http://spacewarps.org/subjects/standard/5183f151e4bb210219006e19.png
ASW0000fgj  1.0000000  988       http://spacewarps.org/subjects/standard/5183f151e4bb210219004e43.png
ASW0009dfu  0.0000008  161       http://spacewarps.org/subjects/standard/5183f151e4bb2102190106dd.png
ASW0009dfq  0.0000003  232       http://spacewarps.org/subjects/standard/5183f151e4bb210219010983.png
ASW0009dfp  0.0000004  227       http://spacewarps.org/subjects/standard/5183f151e4bb210219010714.png
ASW0009div  0.0000001  215       http://spacewarps.org/subjects/standard/5183f151e4bb210219008f04.png
ASW0009dgn  0.0000002  244       http://spacewarps.org/subjects/standard/5183f151e4bb21021901833b.png
ASW0009di0  0.0000004  226       http://spacewarps.org/subjects/standard/5183f151e4bb210219006bb3.png
ASW0009dhe  0.0000001  219       http://spacewarps.org/subjects/standard/5183f151e4bb21021900359e.png
ASW0009dhd  0.0000013  210       http://spacewarps.org/subjects/standard/5183f151e4bb21021900785e.png
ASW0009djn  0.0000003  120       http://spacewarps.org/subjects/standard/5183f151e4bb210219002a5e.png
ASW0009djp  0.0000003  220       http://spacewarps.org/subjects/standard/5183f151e4bb210219002f23.png
ASW0009djr  0.0000004  157       http://spacewarps.org/subjects/standard/5183f151e4bb2102190027cc.png
ASW0009dh5  0.0000002  228       http://spacewarps.org/subjects/standard/5183f151e4bb21021900a093.png
ASW0009dhv  0.0000009  213       http://spacewarps.org/subjects/standard/5183f151e4bb210219003e94.png
